#OTU ID	16SAMP-2340	16SAMP-2589	16SAMP-2643	16SAMP-3459	16SAMP-3460	16SAMP-3463	16SAMP-4077	16SAMP-4081	16SAMP-4598	16SAMP-4601	MQ180605-111	MQ180605-112	MQ180605-113	MQ180605-114	MQ180605-115	MQ180605-116	MQ180605-117	MQ180605-118	MQ180605-119	MQ180605-120	MQ180605-121	MQ180605-122	MQ180605-123	MQ180605-124	MQ180605-125	MQ180605-126	MQ180605-127	MQ180605-128	MQ180605-129	MQ180605-130	MQ180605-131	MQ180605-132	MQ180605-133	MQ180605-134	MQ180605-135	MQ180605-136	MQ180605-137	MQ180605-138	MQ180605-139	MQ180605-140	MQ180605-141	MQ180605-142	MQ180605-143	MQ180605-144	MQ180605-145	MQ180605-146	MQ180605-147	MQ180605-148
ASV14054	0	0	0	1	0	0	0	2	1	1	0	1	1	3	2	1	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ASV3378	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	7	0	0	0	0	0	38	162	1	0	0	0	0	0	0	0
ASV4047	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	69	0	24	0	0	0	19	20	0	0	0	0	0	0	41	0
ASV10768	0	0	0	1	0	0	0	0	1	0	5	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	2	0	0	1	1	1	2	0	0	0	0	0	3
ASV13966	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0
ASV2749	0	0	0	12	0	0	0	0	0	83	0	7	0	0	118	1	5	0	0	0	2	0	0	0	0	38	0	0	0	4	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV13979	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	12	0	2	0	0	0	0	0	2	1	0	0	0	0	1
ASV7484	0	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2
ASV3921	0	0	0	12	15	25	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	13	0	2	0	0	5	3	4	1	2	24	57	6
ASV816	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	15	0	0	0	1	0	20	0	1226	0	0	0	61	29	0	3	3	0	0	4	464	0
ASV11726	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	4	4	11	0	0	0	0	8	0	8
ASV12740	0	0	0	4	0	0	0	0	9	0	1	0	0	0	2	0	5	0	0	1	3	0	0	0	0	0	2	0	2	2	5	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0
ASV6931	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0
ASV2944	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	150	0	0	1	0	0	0	0	0	0	0	43	37	4
ASV2954	0	0	0	5	0	0	0	0	1	3	182	2	2	2	0	0	0	5	1	2	15	1	0	0	0	1	3	0	1	1	0	1	6	0	15	0	0	2	3	6	0	2	3	1	0	0	0	4
ASV7935	0	0	0	2	1	3	1	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	7	0	15	0	0	3	3	1	1	1	0	0	0
ASV11014	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	21	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV6956	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	6	8	0	0	0	0	0	0	11	0
ASV9502	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	2	0	0	2	6	1	0	0	0	0	15	17	5
ASV3822	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	155	0	1	0	0	0	0
ASV7189	0	0	0	29	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	2	3	0	0	4	3	3	0	0	0	0	0
ASV6220	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	17	3	6	6	8	0	8	20	2	2	0	2	0	7	3
