"FLASV","idty","Kingdom","Phylum","Class","Order","Family","Genus"
"FLASV8381.1384",99.8,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Ca_Udaeobacter"
"FLASV8382.1312",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"FLASV8383.1389",98.1,"Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae",""
"FLASV8384.1344",99.6,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV8385.1306",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"FLASV8386.1371",99.6,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"FLASV8387.1352",98.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"FLASV8388.1309",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV8389.1314",96.3,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","",""
"FLASV8390.1296",98.1,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","",""
"FLASV8391.1379",98.9,"Bacteria","MBNT15","","","",""
"FLASV8392.1355",98.4,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",""
"FLASV8393.1349",98.7,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Panacagrimonas"
"FLASV8394.1384",90.4,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae",""
"FLASV8395.1306",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV8396.1352",97.5,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",""
"FLASV8397.1302",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",""
"FLASV8398.1351",98.4,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","",""
"FLASV8399.1361",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"FLASV8400.1346",97.8,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV8401.1388",98.3,"Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae",""
"FLASV8402.1306",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
