FLASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Tax
FLASV4811.1310,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,AsCoM_s_2360,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:AsCoM_s_2360,"
FLASV4812.1377,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,AsCoM_s_3500,"d:Bacteria,p:Myxococcota,c:Polyangia,o:Polyangiales,f:Polyangiaceae,g:Pajaroellobacter,s:AsCoM_s_3500,"
FLASV4813.1356,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,AsCoM_s_4813,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Crocinitomicaceae,g:Fluviicola,s:AsCoM_s_4813,"
FLASV4814.1317,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,AsCoM_g_3038,AsCoM_s_3038,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:AsCoM_g_3038,s:AsCoM_s_3038,"
FLASV4815.1307,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,AsCoM_s_4815,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Altererythrobacter,s:AsCoM_s_4815,"
FLASV4816.1341,Bacteria,Acidobacteriota,Subgroup_11,AsCoM_o_128,AsCoM_f_128,AsCoM_g_128,AsCoM_s_4816,"d:Bacteria,p:Acidobacteriota,c:Subgroup_11,o:AsCoM_o_128,f:AsCoM_f_128,g:AsCoM_g_128,s:AsCoM_s_4816,"
FLASV4817.1356,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,AsCoM_s_4817,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Nitrosomonadaceae,g:Ellin6067,s:AsCoM_s_4817,"
FLASV4818.1354,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,AsCoM_f_131,AsCoM_g_778,AsCoM_s_1686,"d:Bacteria,p:Bacteroidota,c:Ignavibacteria,o:SJA-28,f:AsCoM_f_131,g:AsCoM_g_778,s:AsCoM_s_1686,"
FLASV4819.1372,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,AsCoM_g_4819,AsCoM_s_4819,"d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae,g:AsCoM_g_4819,s:AsCoM_s_4819,"
FLASV4820.1318,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,AsCoM_s_4820,"d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:AsCoM_s_4820,"
FLASV4821.1350,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,AsCoM_s_4821,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rubrivivax,s:AsCoM_s_4821,"
FLASV4822.1297,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,AsCoM_f_2401,AsCoM_g_4822,AsCoM_s_4822,"d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:AsCoM_f_2401,g:AsCoM_g_4822,s:AsCoM_s_4822,"
FLASV4823.1341,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,AsCoM_s_2216,"d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Blastocatellales,f:Blastocatellaceae,g:JGI_0001001-H03,s:AsCoM_s_2216,"
FLASV4824.1353,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,AsCoM_s_2621,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Microscillaceae,g:Ohtaekwangia,s:AsCoM_s_2621,"
FLASV4825.1357,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,AsCoM_s_2047,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Parafilimonas,s:AsCoM_s_2047,"
FLASV4826.1358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_abietaniphila,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:Pseudomonas_abietaniphila,"
FLASV4827.1363,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,AsCoM_g_183,AsCoM_s_4827,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:AsCoM_g_183,s:AsCoM_s_4827,"
FLASV4828.1374,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,AsCoM_s_4828,"d:Bacteria,p:Firmicutes,c:Bacilli,o:Paenibacillales,f:Paenibacillaceae,g:Paenibacillus,s:AsCoM_s_4828,"
FLASV4829.1379,Bacteria,Myxococcota,bacteriap25,AsCoM_o_71,AsCoM_f_71,AsCoM_g_2017,AsCoM_s_3838,"d:Bacteria,p:Myxococcota,c:bacteriap25,o:AsCoM_o_71,f:AsCoM_f_71,g:AsCoM_g_2017,s:AsCoM_s_3838,"
FLASV4830.1308,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,AsCoM_s_2467,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:AsCoM_s_2467,"
FLASV4831.1358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,AsCoM_s_30,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:AsCoM_s_30,"
FLASV4832.1365,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,AsCoM_g_1359,AsCoM_s_3937,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:AsCoM_g_1359,s:AsCoM_s_3937,"
FLASV4833.1353,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AsCoM_g_1877,AsCoM_s_4833,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:AsCoM_g_1877,s:AsCoM_s_4833,"
FLASV4834.1360,Bacteria,Proteobacteria,Gammaproteobacteria,AsCoM_o_1360,AsCoM_f_4834,AsCoM_g_4834,AsCoM_s_4834,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:AsCoM_o_1360,f:AsCoM_f_4834,g:AsCoM_g_4834,s:AsCoM_s_4834,"
FLASV4835.1352,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,AsCoM_s_2315,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhizobacter,s:AsCoM_s_2315,"
FLASV4836.1344,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,AsCoM_s_63,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,s:AsCoM_s_63,"
FLASV4837.1312,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,AsCoM_s_4837,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,s:AsCoM_s_4837,"
FLASV4838.1329,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,AsCoM_g_2947,AsCoM_s_4838,"d:Bacteria,p:Armatimonadota,c:Fimbriimonadia,o:Fimbriimonadales,f:Fimbriimonadaceae,g:AsCoM_g_2947,s:AsCoM_s_4838,"
FLASV4839.1365,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,AsCoM_s_4839,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,s:AsCoM_s_4839,"
FLASV4840.1327,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,AsCoM_s_4840,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Rubinisphaeraceae,g:SH-PL14,s:AsCoM_s_4840,"
FLASV4841.1339,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,AsCoM_g_230,AsCoM_s_230,"d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Blastocatellales,f:Blastocatellaceae,g:AsCoM_g_230,s:AsCoM_s_230,"
FLASV4842.1357,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,AsCoM_s_2047,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Parafilimonas,s:AsCoM_s_2047,"
FLASV4843.1359,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,AsCoM_s_788,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Puia,s:AsCoM_s_788,"
FLASV4844.1358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,AsCoM_s_191,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:AsCoM_s_191,"
FLASV4845.1379,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,AsCoM_s_3690,"d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Opitutaceae,g:Lacunisphaera,s:AsCoM_s_3690,"
FLASV4846.1351,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,AsCoM_s_1333,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Cytophagaceae,g:Cytophaga,s:AsCoM_s_1333,"
FLASV4847.1344,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_piscis,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,s:Flavobacterium_piscis,"
FLASV4848.1305,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,YM_S32_TM7_50_20,AsCoM_g_2585,AsCoM_s_4848,"d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:YM_S32_TM7_50_20,g:AsCoM_g_2585,s:AsCoM_s_4848,"
FLASV4849.1359,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,AsCoM_s_2066,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Methylophilaceae,g:Methylotenera,s:AsCoM_s_2066,"
FLASV4850.1357,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,AsCoM_s_1230,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:AsCoM_s_1230,"
FLASV4851.1317,Bacteria,Chloroflexi,Anaerolineae,20-Jan,AsCoM_f_1684,AsCoM_g_4851,AsCoM_s_4851,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:1-20,f:AsCoM_f_1684,g:AsCoM_g_4851,s:AsCoM_s_4851,"
FLASV4852.1367,Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,AsCoM_g_4852,AsCoM_s_4852,"d:Bacteria,p:Bdellovibrionota,c:Oligoflexia,o:Silvanigrellales,f:Silvanigrellaceae,g:AsCoM_g_4852,s:AsCoM_s_4852,"
FLASV4853.1359,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,AsCoM_f_174,AsCoM_g_3013,AsCoM_s_3143,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:PLTA13,f:AsCoM_f_174,g:AsCoM_g_3013,s:AsCoM_s_3143,"
FLASV4854.1306,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,AsCoM_s_4854,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:AsCoM_s_4854,"
FLASV4855.1349,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Ettlia_pseudoalveolaris,AsCoM_g_3428,AsCoM_s_4855,"d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Ettlia_pseudoalveolaris,g:AsCoM_g_3428,s:AsCoM_s_4855,"
FLASV4856.1322,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Vischeria_sp._CAUP_Q_202,AsCoM_g_1422,AsCoM_s_4856,"d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Vischeria_sp._CAUP_Q_202,g:AsCoM_g_1422,s:AsCoM_s_4856,"
FLASV4857.1356,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,AsCoM_s_1576,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Aurantisolimonas,s:AsCoM_s_1576,"
FLASV4858.1336,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,AsCoM_s_4858,"d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Propionibacteriales,f:Nocardioidaceae,g:Nocardioides,s:AsCoM_s_4858,"
FLASV4859.1322,Bacteria,Chloroflexi,P2-11E,AsCoM_o_495,AsCoM_f_853,AsCoM_g_853,AsCoM_s_1448,"d:Bacteria,p:Chloroflexi,c:P2-11E,o:AsCoM_o_495,f:AsCoM_f_853,g:AsCoM_g_853,s:AsCoM_s_1448,"
FLASV4860.1310,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,AsCoM_g_67,AsCoM_s_1454,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methyloligellaceae,g:AsCoM_g_67,s:AsCoM_s_1454,"
FLASV4861.1309,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AsCoM_f_2604,AsCoM_g_2604,AsCoM_s_4861,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AsCoM_f_2604,g:AsCoM_g_2604,s:AsCoM_s_4861,"
FLASV4862.1379,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,AsCoM_s_4862,"d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Pyrinomonadales,f:Pyrinomonadaceae,g:RB41,s:AsCoM_s_4862,"
FLASV4863.1350,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,AsCoM_s_4863,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,s:AsCoM_s_4863,"
FLASV4864.1374,Bacteria,Myxococcota,bacteriap25,AsCoM_o_71,AsCoM_f_340,AsCoM_g_1334,AsCoM_s_1334,"d:Bacteria,p:Myxococcota,c:bacteriap25,o:AsCoM_o_71,f:AsCoM_f_340,g:AsCoM_g_1334,s:AsCoM_s_1334,"
FLASV4865.1356,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Xylophilus,AsCoM_s_4865,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Xylophilus,s:AsCoM_s_4865,"
FLASV4866.1338,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,AsCoM_f_220,AsCoM_g_220,AsCoM_s_4866,"d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Acidobacteriales,f:AsCoM_f_220,g:AsCoM_g_220,s:AsCoM_s_4866,"
FLASV4867.1352,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,AsCoM_s_110,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:AsCoM_s_110,"
FLASV4868.1361,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,AsCoM_s_4868,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Diplorickettsiales,f:Diplorickettsiaceae,g:Aquicella,s:AsCoM_s_4868,"
FLASV4869.1310,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Reyranella_terrae,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Reyranellales,f:Reyranellaceae,g:Reyranella,s:Reyranella_terrae,"
FLASV4870.1344,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,AsCoM_s_4870,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae,g:Pirellula,s:AsCoM_s_4870,"
FLASV4871.1342,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,AsCoM_s_3932,"d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micrococcales,f:Micrococcaceae,g:Arthrobacter,s:AsCoM_s_3932,"
FLASV4872.1342,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,AsCoM_s_707,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,s:AsCoM_s_707,"
FLASV4873.1382,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,AsCoM_s_4801,"d:Bacteria,p:Myxococcota,c:Polyangia,o:Haliangiales,f:Haliangiaceae,g:Haliangium,s:AsCoM_s_4801,"
FLASV4874.1319,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Lotus_japonicus,AsCoM_g_24,AsCoM_s_4874,"d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Lotus_japonicus,g:AsCoM_g_24,s:AsCoM_s_4874,"
FLASV4875.1366,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,AsCoM_s_4142,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Rhodanobacteraceae,g:Dokdonella,s:AsCoM_s_4142,"
FLASV4876.1370,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,AsCoM_s_1725,"d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae,g:Myxococcus,s:AsCoM_s_1725,"
FLASV4877.1331,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,AsCoM_g_136,AsCoM_s_278,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:AsCoM_g_136,s:AsCoM_s_278,"
FLASV4878.1365,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,AsCoM_g_183,AsCoM_s_2533,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:AsCoM_g_183,s:AsCoM_s_2533,"
FLASV4879.1373,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,AsCoM_f_439,AsCoM_g_439,AsCoM_s_4879,"d:Bacteria,p:Acidobacteriota,c:Vicinamibacteria,o:Vicinamibacterales,f:AsCoM_f_439,g:AsCoM_g_439,s:AsCoM_s_4879,"
FLASV4880.1322,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Ca_Solibacter,AsCoM_s_4880,"d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Solibacterales,f:Solibacteraceae,g:Ca_Solibacter,s:AsCoM_s_4880,"
FLASV4881.1377,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,AsCoM_s_4881,"d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Opitutaceae,g:Opitutus,s:AsCoM_s_4881,"
FLASV4882.1308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,AsCoM_s_2544,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Pedomicrobium,s:AsCoM_s_2544,"
FLASV4883.1306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,AsCoM_g_129,AsCoM_s_860,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:AsCoM_g_129,s:AsCoM_s_860,"
FLASV4884.1345,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,AsCoM_g_947,AsCoM_s_4884,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae,g:AsCoM_g_947,s:AsCoM_s_4884,"
FLASV4885.1357,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,AsCoM_g_2146,AsCoM_s_2146,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Microscillaceae,g:AsCoM_g_2146,s:AsCoM_s_2146,"
FLASV4886.1332,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Ca_Spiroplasma,AsCoM_g_526,AsCoM_s_4886,"d:Bacteria,p:Firmicutes,c:Bacilli,o:Entomoplasmatales,f:Ca_Spiroplasma,g:AsCoM_g_526,s:AsCoM_s_4886,"
FLASV4887.1340,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,AsCoM_s_1170,"d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Blastocatellales,f:Blastocatellaceae,g:Stenotrophobacter,s:AsCoM_s_1170,"
FLASV4888.1353,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,AsCoM_s_2621,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Microscillaceae,g:Ohtaekwangia,s:AsCoM_s_2621,"
FLASV4889.1328,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,AsCoM_g_3324,AsCoM_s_4889,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Caldilineales,f:Caldilineaceae,g:AsCoM_g_3324,s:AsCoM_s_4889,"
FLASV4890.1316,Bacteria,Chloroflexi,Dehalococcoidia,S085,AsCoM_f_179,AsCoM_g_1254,AsCoM_s_4890,"d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:S085,f:AsCoM_f_179,g:AsCoM_g_1254,s:AsCoM_s_4890,"
FLASV4891.1355,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AsCoM_g_2287,AsCoM_s_2302,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:AsCoM_g_2287,s:AsCoM_s_2302,"
FLASV4892.1309,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,LB3-76,AsCoM_s_804,"d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Leptolyngbyales,f:Leptolyngbyaceae,g:LB3-76,s:AsCoM_s_804,"
FLASV4893.1306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,AsCoM_s_68,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,s:AsCoM_s_68,"
FLASV4894.1350,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,AsCoM_s_1355,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Duganella,s:AsCoM_s_1355,"
FLASV4895.1337,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,AsCoM_s_2869,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae,g:Pirellula,s:AsCoM_s_2869,"
FLASV4896.1364,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,AsCoM_s_4896,"d:Bacteria,p:Myxococcota,c:Polyangia,o:Haliangiales,f:Haliangiaceae,g:Haliangium,s:AsCoM_s_4896,"
FLASV4897.1370,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,AsCoM_s_4897,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Arenimonas,s:AsCoM_s_4897,"
FLASV4898.1365,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AsCoM_f_4898,AsCoM_g_4898,AsCoM_s_4898,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:AsCoM_f_4898,g:AsCoM_g_4898,s:AsCoM_s_4898,"
FLASV4899.1351,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,AsCoM_f_460,AsCoM_g_4899,AsCoM_s_4899,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Bacteroidetes_VC2.1_Bac22,f:AsCoM_f_460,g:AsCoM_g_4899,s:AsCoM_s_4899,"
FLASV4900.1379,Bacteria,Latescibacterota,AsCoM_c_180,AsCoM_o_180,AsCoM_f_180,AsCoM_g_1555,AsCoM_s_1555,"d:Bacteria,p:Latescibacterota,c:AsCoM_c_180,o:AsCoM_o_180,f:AsCoM_f_180,g:AsCoM_g_1555,s:AsCoM_s_1555,"
FLASV4901.1318,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,AsCoM_g_3290,AsCoM_s_3290,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031,f:A4b,g:AsCoM_g_3290,s:AsCoM_s_3290,"
FLASV4902.1372,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,AsCoM_g_794,AsCoM_s_1242,"d:Bacteria,p:Acidobacteriota,c:Vicinamibacteria,o:Vicinamibacterales,f:Vicinamibacteraceae,g:AsCoM_g_794,s:AsCoM_s_1242,"
