FLASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Tax
FLASV8828.1376,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,AsCoM_g_4077,AsCoM_s_8828,"d:Bacteria,p:Myxococcota,c:Polyangia,o:Polyangiales,f:BIrii41,g:AsCoM_g_4077,s:AsCoM_s_8828,"
FLASV8829.1365,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,AsCoM_s_8829,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,s:AsCoM_s_8829,"
FLASV8830.1315,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,AsCoM_g_2826,AsCoM_s_4984,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031,f:A4b,g:AsCoM_g_2826,s:AsCoM_s_4984,"
FLASV8831.1367,Bacteria,Elusimicrobiota,Lineage_IIb,AsCoM_o_4465,AsCoM_f_5071,AsCoM_g_5071,AsCoM_s_8831,"d:Bacteria,p:Elusimicrobiota,c:Lineage_IIb,o:AsCoM_o_4465,f:AsCoM_f_5071,g:AsCoM_g_5071,s:AsCoM_s_8831,"
FLASV8832.1324,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,AsCoM_g_8832,AsCoM_s_8832,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Dongiales,f:Dongiaceae,g:AsCoM_g_8832,s:AsCoM_s_8832,"
FLASV8833.1337,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,AsCoM_s_2869,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae,g:Pirellula,s:AsCoM_s_2869,"
FLASV8834.1381,Bacteria,Myxococcota,bacteriap25,AsCoM_o_71,AsCoM_f_1508,AsCoM_g_8100,AsCoM_s_8834,"d:Bacteria,p:Myxococcota,c:bacteriap25,o:AsCoM_o_71,f:AsCoM_f_1508,g:AsCoM_g_8100,s:AsCoM_s_8834,"
FLASV8835.1277,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,AsCoM_s_5725,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Hyphomonadaceae,g:Hirschia,s:AsCoM_s_5725,"
FLASV8836.1378,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,AsCoM_s_8836,"d:Bacteria,p:Myxococcota,c:Polyangia,o:Polyangiales,f:Polyangiaceae,g:Pajaroellobacter,s:AsCoM_s_8836,"
FLASV8837.1350,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,AsCoM_f_7557,AsCoM_g_7557,AsCoM_s_8837,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:AsCoM_f_7557,g:AsCoM_g_7557,s:AsCoM_s_8837,"
FLASV8838.1319,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,AsCoM_s_8838,"d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:AsCoM_s_8838,"
FLASV8839.1309,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_ginsengisoli,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter,s:Caulobacter_ginsengisoli,"
FLASV8840.1323,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_10,AsCoM_s_8840,"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae,g:Clostridium_sensu_stricto_10,s:AsCoM_s_8840,"
FLASV8841.1358,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,AsCoM_f_174,Acidibacter,AsCoM_s_703,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:PLTA13,f:AsCoM_f_174,g:Acidibacter,s:AsCoM_s_703,"
FLASV8842.1373,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,AsCoM_f_439,AsCoM_g_439,AsCoM_s_1438,"d:Bacteria,p:Acidobacteriota,c:Vicinamibacteria,o:Vicinamibacterales,f:AsCoM_f_439,g:AsCoM_g_439,s:AsCoM_s_1438,"
FLASV8843.1377,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,AsCoM_f_4778,AsCoM_g_8843,AsCoM_s_8843,"d:Bacteria,p:Bdellovibrionota,c:Oligoflexia,o:0319-6G20,f:AsCoM_f_4778,g:AsCoM_g_8843,s:AsCoM_s_8843,"
FLASV8844.1342,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,AsCoM_s_8844,"d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Ilumatobacteraceae,g:CL500-29_marine_group,s:AsCoM_s_8844,"
FLASV8845.1361,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Schlesneria,AsCoM_s_1288,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Schlesneriaceae,g:Schlesneria,s:AsCoM_s_1288,"
FLASV8846.1370,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,AsCoM_s_8846,"d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae,g:P3OB-42,s:AsCoM_s_8846,"
FLASV8847.1342,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,AsCoM_g_1173,AsCoM_s_5693,"d:Bacteria,p:Fibrobacterota,c:Fibrobacteria,o:Fibrobacterales,f:Fibrobacteraceae,g:AsCoM_g_1173,s:AsCoM_s_5693,"
FLASV8848.1358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,AsCoM_s_30,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:AsCoM_s_30,"
FLASV8849.1364,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,AsCoM_g_8849,AsCoM_s_8849,"d:Bacteria,p:Dependentiae,c:Babeliae,o:Babeliales,f:Vermiphilaceae,g:AsCoM_g_8849,s:AsCoM_s_8849,"
FLASV8850.1408,Bacteria,Patescibacteria,Parcubacteria,Ca_Nomurabacteria,AsCoM_f_2336,AsCoM_g_8850,AsCoM_s_8850,"d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Ca_Nomurabacteria,f:AsCoM_f_2336,g:AsCoM_g_8850,s:AsCoM_s_8850,"
FLASV8851.1299,Bacteria,Patescibacteria,Parcubacteria,AsCoM_o_1688,AsCoM_f_3011,AsCoM_g_8851,AsCoM_s_8851,"d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:AsCoM_o_1688,f:AsCoM_f_3011,g:AsCoM_g_8851,s:AsCoM_s_8851,"
FLASV8852.1347,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,AsCoM_f_320,AsCoM_g_6589,AsCoM_s_8852,"d:Bacteria,p:Armatimonadota,c:Chthonomonadetes,o:Chthonomonadales,f:AsCoM_f_320,g:AsCoM_g_6589,s:AsCoM_s_8852,"
FLASV8853.1344,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,AsCoM_s_8853,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,s:AsCoM_s_8853,"
FLASV8854.1306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,AsCoM_s_1341,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Labraceae,g:Labrys,s:AsCoM_s_1341,"
FLASV8855.1350,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,AsCoM_f_7557,AsCoM_g_7557,AsCoM_s_8837,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:AsCoM_f_7557,g:AsCoM_g_7557,s:AsCoM_s_8837,"
FLASV8856.1325,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Tetradesmus_obliquus,AsCoM_g_2788,AsCoM_s_2788,"d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Tetradesmus_obliquus,g:AsCoM_g_2788,s:AsCoM_s_2788,"
FLASV8857.1352,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,AsCoM_s_1204,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Solitalea,s:AsCoM_s_1204,"
FLASV8858.1350,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,AsCoM_s_4863,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,s:AsCoM_s_4863,"
FLASV8859.1366,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,AsCoM_s_1012,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Arenimonas,s:AsCoM_s_1012,"
